"pro-id";"Nom";"Commune";"Début d'activité";"Fin d'activité";"Prédécesseur";"Successeur";"adresse";"coordonnées";"imprimerie";"patron";"libraire";"Date de brevet (libraire)";"lithographe";"Date de brevet (imprimeur-lithographe)";"imprimeur";"Date de brevet (imprimeur)";"graveur";"relieur";"typographe";"Linotypiste";"journaliste";"photographe";"marchand de journaux";"porteur de journaux";"Notes"
3;2;1;1836;1841;3;56;"12 rue des Procureurs";"50.368508, 3.080329";16;1;1;;1;;1;;0;0;0;0;0;0;0;0;
4;4;1;1794;1818;;5;"5 rue des Chapelets";"50.371998, 3.080716";15;1;1;;0;;1;;0;0;0;0;0;0;0;0;
6;5;1;1806;1840;4;6;"5 rue des Chapelets";"50.371998, 3.080716";15;1;0;;0;;1;"23/04/1823";0;0;0;0;0;0;0;0;
7;6;1;1840;1851;5;30;"5 rue des Chapelets";"50.371998, 3.080716";15;1;1;"30/03/1844";0;;1;"21/02/1840";0;0;0;0;0;0;0;0;
9;7;1;1840;1853;;;;;24;1;0;;0;;1;"1831";0;0;0;0;0;0;0;0;
10;8;1;1846;1853;15;17;"8 rue Notre-Dame-des-Wetz";"50.372047, 3.079391";26;1;0;;1;"15/06/1848";0;;0;0;0;0;0;0;0;0;
11;9;1;1839;1841;14;;;;;0;0;;0;;1;;0;0;0;0;0;0;0;0;
12;10;1;1804;1841;;;"45 rue Saint-Jacques";"50.371173, 3.084092";;0;1;;0;;1;;0;0;0;0;0;0;0;0;
13;11;1;1792;1794;;12;;;;0;0;;0;;0;;0;0;0;0;0;0;0;0;
14;12;1;1794;1794;11;;;;;0;0;;0;;0;;0;0;0;0;0;0;0;0;
15;13;1;1796;;;;;;;0;0;;0;;0;;0;0;0;0;0;0;0;0;
16;14;1;1833;1834;22;9;"44 rue de la Mairie";"50.368094, 3.080445";;0;1;;0;;1;;0;0;0;0;0;0;0;0;"1860 annuaire"
17;15;1;1839;1846;;8;;;;0;0;;1;;0;;1;0;0;0;0;0;0;0;
18;16;1;1792;1804;31;;;;;0;0;;0;;0;;0;0;0;0;0;0;0;0;
19;17;1;1853;1859;8;;"8 rue Notre-Dame-des-Wetz";"0.372047, 3.079391";26;1;1;"03/07/1853";1;"30/03/1853";0;;0;0;0;0;0;0;0;0;"1853 annuaire"
20;18;1;1853;;;;"11 rue de l'Université";"50.367057, 3.080096";;0;0;;1;;1;;0;0;0;0;0;0;0;0;"1860 annuaire"
