"period-id";"nom";"ville";"fréquence";"date de première parution";"date de dernière parution";"imprimeur";"date changement d'imprimeur";"imprimeur2";"imprimeur3";"cote";"notes";"source1"
-2144065639;"Journal du Nord";1;"quotidien (sauf le Dimanche)";"01/08/1871";"29/03/1873";19;;;;;;"D100790"
-2135510281;"Bulletin de l'enseignement primaire";1;"mensuel";"01/01/1872";"ap1896";17;;;;;;"D100790"
-1972521926;"Journal de l'Académie de Douai";1;"trihebdomadaire";"01/01/1811";"24/01/1811";15;;;;;;"D100790"
-1943193727;"Précis des Nouvelles du Département du Nord";1;"quotidien";"15/09/1793";"04/10/1793";38;;;;;;"D100790"
-1763910690;"L'Utile";22;"hebdomadaire";"01/01/1888";"1888";44;;;;;;"D100790"
-1741595400;"Journal d'Orchies";1;"hebdomadaire";"08/02/1864";"1864";17;;;;;;
-1654360796;"L'Écho Douaisien";1;"trihebdomadaire";"30/01/1889";"ap1896";3;;;;"D000010";;
-1651607316;"Journal d'occulistique du Nord de la France";22;;;"ap1896";;;;;;;
-1604891770;"Douai Théâtre Illustré";1;"trihebdomadaire";"04/11/1883";"1884";34;;;;;;
-1577403378;"Revue des Industries Agricoles";1;"mensuel";"01/1895";"ap1896";3;;;;;;
-1500627898;"Revue des Études";1;"mensuel";"05/1877";"04/1878";17;;;;;;
-1491184056;"Gayant et sa famille";1;"hebdomadaire";"1881";"1882";40;;;;;;
-1409291875;"Recueils des Arrêts de la Cour… de Douai";1;"mensuel";"01/03/1835";"01/12/1851";14;;16;42;;;
-1392556618;"L'Indépendant";1;"trihebdomadaire";"03/1848";"ap1896";16;"1866";33;;"D000016";;
-1307325033;"La Publicité Douaisienne";1;"hebdomadaire";"07/05/1882";"1882";3;;;;;;
-1293308122;"Le Courrier Douaisien";1;"trihebdomadaire";"20/09/1854";"05/07/1877";15;;;;"D000008";;
-1260988064;"Bulletin agricole de l'arrondissement de Douai";1;"irrégulier";"1873";"ap1896";17;;;;;;
-1228592592;"Souvenirs de la Flandre Wallonne";1;"mensuel puis annuel";"1861";"1862";19;"1862";41;17;;;
-1052161644;"Douai Gratis";1;"hebdomadaire";"1894";;45;;;;;;
-1013525127;"Le Réveil de Douai";1;"hebdomadaire";"12/02/1882";"1882";35;;;;;;
-899133369;"L'Évènement";1;"numéro unique";"21/03/1871";"21/03/1871";17;;;;;;
-890188404;"Le Rapin";1;"mensuel";"1868";"1868";17;;;;;;
-874915159;"La Gazette de Douai";1;"quotidien";"08/07/1877";"1888";34;;;;"D000009";;
-824205046;"Le Franc-Picard Républicain";1;"hebdomadaire";"20/07/1885";"1885";39;;;;;;
-662811965;"Gayant, écho douaisien";1;"hebdomadaire";"13/12/1857";"21/11/1858";15;;;;"D000006";;
-607828573;"L'Ouvrier Mineur";1;"hebdomadaire";"01/10/1883";"1888";40;;;;;;
-606937796;"L'Avenir de Douai";1;"hebdomadaire";"06/1890";"07/1890";17;;;;;;
-527463823;"Le Triboulet";1;"hebdomadaire";"13/10/1872";"09/02/1873";22;;;;;;
-495958656;"Le Petit Républicain";1;"trihebdomadaire";"01/02/1887";"1887";;;;;;"Imprimerie spéciale 38 rue de Paris";"D100790"
-487627087;"Les Épreuves du Baccalauréat Ès-Lettres";1;"irrégulier";"04/07/1881";"1882";34;;;;;;"D100790"
-425785537;"Le bibliophile du Nord de la France";1;"Irrégulier";"01/11/1860";"ap1896";17;;;;;;"D100790"
-395429624;"Feuille d'Annonces de l'Arrondissement de Douai et de la Région du Nord";1;"hebdomadaire";"05/11/1893";"ap1896";40;;;;;;"D100790"
-277102447;"Le Médiateur";1;"prospectus";;;;;;;;;"D100790"
-274243732;"Bulletin de l'union géographique du Nord de la France";1;"trimestriel";"07/1880";"ap1896";33;;;;;;"D100790"
-273170471;"Le Courrier de la Scarpe";1;"bihebdomadaire";"13/11/1790";"11/05/1791";12;;;;;;"D100790"
-241691874;"L'Escaut";1;"trihebdomadaire";"15/12/1884";"1885";34;;;;;;"D100790"
-216583318;"L'Ouvrier";1;"hebdomadaire";"07/07/1838";"03/1839";16;;;;;;"D100790"
-205199754;"Bulletin de la Société d'Instruction Militaire et de Gymnastique ""Pro Patria"" de Douai";1;"mensuel";"03/06/1894";;40;;;;;;"D100790"
-74997129;"Le Chroniqueur du Pays de Pévèle";4;;;;;;;;;;"D100790"
-56805783;"Binbin";1;"hebdomadaire";"09/06/1894";"28/07/1894";45;;;;;;"D100790"
1;"Le Vrai Gayant";1;"hebdomadaire";"18/06/1882";"11/05/1884";3;;;;"D000003
D000003
D000003
D000003
D000003
D000003
D000003";;"D100790"
48216788;"L'Indicateur Financier";1;"mensuel";"16/04/1881";"01/10/1883";19;;;;;;"D100790"
56081703;"Mémoires de l'Association Vétérinaire";1;"irrégulier";"1845";"1850";;;;;;;"D100790"
66403067;"L'Instituteur du Nord et du Pas-de-Calais";1;"mensuel";"01/03/1838";"01/12/1852";16;;;;;;"D100790"
90755209;"Le Petit Douaisien";1;"quotidien";"11/02/1884";;39;;;;;;"D100790"
91667731;"La Revanche de l'Armée du Nord";1;"bihebdomadaire";"29/10/1883";"24/11/1883";3;;;;;;"D100790"
103390063;"Le Kiosque";1;"irrégulier";"11/07/1858";"1872";17;;;;;;"D100790"
143453133;"Feuille de Douai";1;"trihebdomadaire";"24/09/1801";"01/01/1848";15;;;;"D000012";;"D100790"
183982981;"Le Bon Douaisien";1;"quotidien (sauf dimanche)";"05/10/1870";"30/10/1870";19;;;;;;"D100790"
